Index	X	Sigmoid	Recon	Hex
5024	4.907049	0.992660	0.992660	0x00FE1EF
5025	4.908025	0.992667	0.992667	0x00FE1F7
5026	4.909002	0.992674	0.992674	0x00FE1FE
5027	4.909979	0.992681	0.992682	0x00FE206
5028	4.910956	0.992688	0.992688	0x00FE20D
5029	4.911932	0.992695	0.992696	0x00FE215
5030	4.912909	0.992703	0.992702	0x00FE21C
5031	4.913886	0.992710	0.992710	0x00FE224
5032	4.914862	0.992717	0.992717	0x00FE22B
5033	4.915839	0.992724	0.992723	0x00FE232
5034	4.916816	0.992731	0.992731	0x00FE23A
5035	4.917793	0.992738	0.992738	0x00FE241
5036	4.918769	0.992745	0.992744	0x00FE248
5037	4.919746	0.992752	0.992752	0x00FE250
5038	4.920723	0.992759	0.992759	0x00FE257
5039	4.921699	0.992766	0.992766	0x00FE25F
5040	4.922676	0.992773	0.992773	0x00FE266
5041	4.923653	0.992780	0.992780	0x00FE26D
5042	4.924630	0.992787	0.992787	0x00FE275
5043	4.925606	0.992794	0.992794	0x00FE27C
5044	4.926583	0.992801	0.992801	0x00FE283
5045	4.927560	0.992808	0.992808	0x00FE28B
5046	4.928537	0.992815	0.992815	0x00FE292
5047	4.929513	0.992822	0.992822	0x00FE299
5048	4.930490	0.992829	0.992828	0x00FE2A0
5049	4.931467	0.992836	0.992836	0x00FE2A8
5050	4.932443	0.992843	0.992843	0x00FE2AF
5051	4.933420	0.992850	0.992849	0x00FE2B6
5052	4.934397	0.992857	0.992857	0x00FE2BE
5053	4.935374	0.992864	0.992864	0x00FE2C5
5054	4.936350	0.992870	0.992870	0x00FE2CC
5055	4.937327	0.992877	0.992877	0x00FE2D3
5056	4.938304	0.992884	0.992885	0x00FE2DB
5057	4.939280	0.992891	0.992891	0x00FE2E2
5058	4.940257	0.992898	0.992898	0x00FE2E9
5059	4.941234	0.992905	0.992905	0x00FE2F0
5060	4.942211	0.992912	0.992911	0x00FE2F7
5061	4.943187	0.992919	0.992919	0x00FE2FF
5062	4.944164	0.992926	0.992926	0x00FE306
5063	4.945141	0.992932	0.992932	0x00FE30D
5064	4.946118	0.992939	0.992939	0x00FE314
5065	4.947094	0.992946	0.992946	0x00FE31B
5066	4.948071	0.992953	0.992953	0x00FE323
5067	4.949048	0.992960	0.992960	0x00FE32A
5068	4.950024	0.992967	0.992967	0x00FE331
5069	4.951001	0.992973	0.992973	0x00FE338
5070	4.951978	0.992980	0.992980	0x00FE33F
5071	4.952955	0.992987	0.992987	0x00FE346
5072	4.953931	0.992994	0.992993	0x00FE34D
5073	4.954908	0.993001	0.993001	0x00FE355
5074	4.955885	0.993007	0.993008	0x00FE35C
5075	4.956861	0.993014	0.993014	0x00FE363
5076	4.957838	0.993021	0.993021	0x00FE36A
5077	4.958815	0.993028	0.993028	0x00FE371
5078	4.959792	0.993034	0.993034	0x00FE378
5079	4.960768	0.993041	0.993041	0x00FE37F
5080	4.961745	0.993048	0.993048	0x00FE386
5081	4.962722	0.993055	0.993054	0x00FE38D
5082	4.963699	0.993061	0.993061	0x00FE394
5083	4.964675	0.993068	0.993068	0x00FE39B
5084	4.965652	0.993075	0.993074	0x00FE3A2
5085	4.966629	0.993082	0.993082	0x00FE3AA
5086	4.967605	0.993088	0.993089	0x00FE3B1
5087	4.968582	0.993095	0.993095	0x00FE3B8
5088	4.969559	0.993102	0.993102	0x00FE3BF
5089	4.970536	0.993108	0.993109	0x00FE3C6
5090	4.971512	0.993115	0.993115	0x00FE3CD
5091	4.972489	0.993122	0.993122	0x00FE3D4
5092	4.973466	0.993128	0.993129	0x00FE3DB
5093	4.974442	0.993135	0.993135	0x00FE3E2
5094	4.975419	0.993142	0.993142	0x00FE3E9
5095	4.976396	0.993148	0.993149	0x00FE3F0
5096	4.977373	0.993155	0.993155	0x00FE3F7
5097	4.978349	0.993162	0.993161	0x00FE3FD
5098	4.979326	0.993168	0.993168	0x00FE404
5099	4.980303	0.993175	0.993175	0x00FE40B
5100	4.981280	0.993182	0.993181	0x00FE412
5101	4.982256	0.993188	0.993188	0x00FE419
5102	4.983233	0.993195	0.993195	0x00FE420
5103	4.984210	0.993201	0.993201	0x00FE427
